,,,,,Score,,,,Team,,,,,,,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,,,,,,,,,
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
24,24,12/13/10,,MIL,L,99,103,,37,76,0.487,5,20,0.25,32,56,0.571,0.52,20,27,0.741,9,32,41,28,4,7,13,18,40,84,0.476,9,13,0.692,31,71,0.437,0.53,14,20,0.7,11,29,40,23,7,3,11,23
25,25,12/15/10,,POR,W,103,98,,40,74,0.541,3,16,0.188,37,58,0.638,0.561,20,21,0.952,5,31,36,20,7,4,12,16,42,85,0.494,3,14,0.214,39,71,0.549,0.512,11,18,0.611,12,25,37,26,5,1,8,17
26,26,12/17/10,,PHO,W,106,91,,39,86,0.453,8,18,0.444,31,68,0.456,0.5,20,31,0.645,11,43,54,27,9,4,9,18,35,89,0.393,5,21,0.238,30,68,0.441,0.421,16,22,0.727,10,41,51,22,5,9,12,25
27,27,12/20/10,@,MIA,W,98,96,,33,74,0.446,8,21,0.381,25,53,0.472,0.5,24,28,0.857,10,38,48,19,6,1,14,23,34,84,0.405,11,31,0.355,23,53,0.434,0.47,17,25,0.68,16,28,44,18,7,5,12,20
28,28,12/21/10,@,ORL,W,105,99,,38,76,0.5,12,26,0.462,26,50,0.52,0.579,17,21,0.81,4,34,38,28,5,0,13,18,38,86,0.442,11,29,0.379,27,57,0.474,0.506,12,12,1,11,29,40,22,6,3,13,22
29,29,12/27/10,@,OKC,W,103,93,,41,84,0.488,11,23,0.478,30,61,0.492,0.554,10,11,0.909,6,37,43,29,7,2,14,20,34,81,0.42,6,17,0.353,28,64,0.438,0.457,19,23,0.826,8,31,39,20,9,6,11,14
30,30,12/28/10,,TOR,L,76,84,,31,75,0.413,5,22,0.227,26,53,0.491,0.447,9,12,0.75,11,24,35,19,6,6,18,17,33,69,0.478,2,10,0.2,31,59,0.525,0.493,16,22,0.727,10,32,42,20,9,5,20,14
31,31,12/30/10,,SAS,L,93,99,,35,82,0.427,10,23,0.435,25,59,0.424,0.488,13,15,0.867,4,31,35,24,9,5,10,22,35,76,0.461,11,28,0.393,24,48,0.5,0.533,18,23,0.783,7,43,50,15,2,3,14,19
32,32,1/1/11,@,MIL,L,87,99,,30,80,0.375,9,32,0.281,21,48,0.438,0.431,18,22,0.818,6,25,31,16,12,2,12,23,38,77,0.494,4,16,0.25,34,61,0.557,0.519,19,25,0.76,8,43,51,24,4,4,17,18
33,33,1/2/11,@,CLE,W,104,95,,40,83,0.482,10,27,0.37,30,56,0.536,0.542,14,22,0.636,11,26,37,26,7,6,10,13,41,81,0.506,5,17,0.294,36,64,0.563,0.537,8,13,0.615,9,25,34,25,6,2,15,23
